,score
Noct,38.03727117740502
Slc31a1,37.93674428507021
Nfe2l2,37.84065881924921
Arcn1,37.806884297491344
Tmem144,37.7918193437045
Lamp2,37.76088073613504
Hspa9,37.6511586345456
Mogat2,37.64173421406993
H2afv,37.553945192845084
Gucd1,37.5530750095121
Stxbp2,37.53462671446892
Tm9sf2,37.51119740165697
As3mt,37.502731900385676
Phlda2,37.43568928115503
Fam134b,37.33567658170248
Pgap1,37.320811920634895
Tfpi,37.29535167770753
Qdpr,37.2799456868991
Clic1,37.10195563182109
Atpif1,37.08084361986819
Sephs2,36.94832417746871
Ambp,36.831721221460626
Slc26a2,36.73561226421139
Tead2,36.58339067658958
Gaa,36.48841366133927
Klhl2,36.395225297252594
Lyar,36.264065192958206
1700019B21Rik,36.19267815463923
Galm,36.18602042500946
Mien1,36.17597777208678
Prdx6,36.13309827590886
Cep170b,36.131974979943315
Mras,36.12884117016662
Leap2,36.12726790769315
Rhpn2,36.0753910777199
Snx8,36.01923250759411
Rap1gap2,35.97395309315193
Rplp1,35.96153912133499
Lima1,35.921008437743644
Crabp1,35.88715285765951
Rps25,35.84194351943916
Gpr155,35.79736266938041
Rab1a,35.75460336229837
Ncl,35.73595081292846
Nid2,35.60370842108263
Nop56,35.548073214789596
Actn4,35.389786293987505
Nucks1,35.355922710241614
Atp6ap2,35.26897431121292
Ddc,35.19513573674988
Snrpd2,35.16659250908847
Irf6,35.137414388777216
Atp6v0d1,35.12084737923595
Slc9a6,35.101567128334125
Pmm2,35.08733632065264
Sox4,35.081902032899166
AI464131,35.03508890900364
Lrp10,35.00485249472456
Commd9,34.97863872766152
Tdrp,34.95063737749083
Ube2i,34.93383198121256
Sh3d19,34.91250882018869
Bco1,34.910702092997504
Jup,34.81885185226716
Prps1,34.81102355440608
Tmem106a,34.78325421070518
Naca,34.61069513007653
Plekhf2,34.56378635852604
Haus7,34.5138000606005
Ifitm1,34.34975820668948
Map1b,34.32321010866429
Nnat,34.323177821466636
Habp2,34.28069592210123
mt-Atp6,34.16615950105417
Emc7,34.16420479096411
F2,34.14445556251158
