,score
Adcy9,-0.7035110843939135
Rbpms,-0.7053179696003151
Syt17,-0.7069183458979341
BC025446,-0.7245417875035072
Adamts9,-0.7273849426288428
Oasl1,-0.7315670779662972
Zfp790,-0.7327779413910459
Erich2,-0.7423949469573717
Cep97,-0.7546206304961252
Wdr35,-0.7577482199140083
Gins1,-0.7643003742044504
Nbas,-0.7784402305765745
Wdr47,-0.7794746447904052
Il1f8,-0.7860532801233383
Abcc3,-0.7862162251272103
1810062G17Rik,-0.788089951646482
Sugp2,-0.7938242552512532
Rfx1,-0.7997997572052863
Fam189a1,-0.8000205491619933
Dus2,-0.8179027496252081
Wfs1,-0.8282062233763803
Tdp1,-0.8283321214669479
Dync2h1,-0.832980608539097
Yipf3,-0.8350536519213807
Saxo2,-0.8394205428144308
Thnsl1,-0.8449476798624859
Armc5,-0.8450074809618856
Aagab,-0.8693416365839077
Dis3l,-0.8730914125882163
Rbm44,-0.8764551611913153
Snn,-0.8770337284963222
Fzd3,-0.88589560446051
Prrg1,-0.8925733407608902
Gm26782,-0.9160248206858802
Znrd1as,-0.9173577318415219
Otulin,-0.9238473738339407
Pdp2,-0.9258064668259751
Il1b,-0.9328215433715044
Zfp653,-0.9343578588581545
Clip2,-0.9451668564468877
A930004D18Rik,-0.9529678089822019
Tyk2,-0.9587689917169917
Mcl1,-0.9595413510084866
9530053A07Rik,-0.9620526627705716
Maff,-0.9711585077155892
Dcp1b,-0.9749484737483598
Tmbim4,-1.000526148952897
Trpt1,-1.0084067265231391
Fam195b,-1.0199759520820724
3222401L13Rik,-1.0234691806467884
Umod,-1.0272071253690378
Stab1,-1.0296407044647888
Zfp426,-1.031819994362958
Stat2,-1.0319815107261783
Gpr85,-1.0480400366690241
M1ap,-1.0612265617550543
Dph7,-1.079418914509631
Taco1os,-1.0824705668277355
Gm16863,-1.1201122057626702
Tekt5,-1.1340696221778441
Ddx24,-1.1344756583822475
Crocc,-1.1596569502653558
Alg12,-1.168201861928188
Gm14418,-1.1737292280298142
Smug1,-1.1807570486793855
Myo5a,-1.2536185566284068
Zfp386,-1.269251498397502
Plpp6,-1.2775359342423305
Ephb6,-1.2805753387260757
Kbtbd4,-1.3543987439291993
Arhgap40,-1.3677159635315108
